"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2023","109.11","103.60","109.83","101.68","392.17K","5.32%"
"03/01/2023","103.60","100.72","103.84","100.72","754.81K","2.86%"
"02/28/2023","100.72","103.60","103.60","100.72","2.02M","-3.23%"
"02/27/2023","104.08","107.43","107.43","102.40","8.18K","-3.77%"
"02/24/2023","108.15","109.35","110.07","105.52","64.59K","-1.10%"
"02/23/2023","109.35","107.91","109.35","106.47","54.03K","0.00%"
"02/22/2023","109.35","110.31","114.63","109.35","140.15K","-0.87%"
"02/21/2023","110.31","111.27","111.27","106.00","41.43K","-2.13%"
"02/20/2023","112.71","104.56","115.11","104.56","213.94K","10.33%"
"02/17/2023","102.16","96.88","102.16","96.40","435.90K","6.50%"
"02/16/2023","95.92","94.48","96.88","92.09","156.27K","2.04%"
"02/15/2023","94.00","91.22","94.00","91.22","44.71K","1.55%"
"02/14/2023","92.57","92.09","94.96","91.13","65.42K","-0.52%"
"02/13/2023","93.05","92.09","94.96","91.13","160.13K","-0.92%"
"02/10/2023","93.91","92.09","95.92","91.80","41.32K","1.03%"
"02/09/2023","92.95","92.09","94.96","91.70","28.45K","0.83%"
"02/08/2023","92.18","87.77","95.92","87.29","73.65K","2.23%"
"02/07/2023","90.17","89.21","90.17","86.33","279.74K","1.08%"
"02/06/2023","89.21","90.94","90.94","88.63","69.71K","-1.06%"
"02/03/2023","90.17","86.62","91.13","86.62","27.49K","4.44%"
"02/02/2023","86.33","85.37","86.71","84.41","144.09K","2.16%"
"02/01/2023","84.51","82.01","84.51","82.01","44.31K","3.04%"
"01/31/2023","82.01","81.06","82.49","81.06","526.07K","0.59%"
"01/30/2023","81.53","81.44","82.40","80.58","79.58K","0.24%"
"01/27/2023","81.34","80.58","81.44","79.71","1.12M","0.95%"
"01/26/2023","80.58","80.58","80.58","79.62","46.40K","0.48%"
"01/25/2023","80.19","80.58","81.53","79.23","104.61K","0.60%"
"01/24/2023","79.71","82.30","83.07","79.62","68.74K","-3.93%"
"01/23/2023","82.97","81.53","85.37","79.81","192.37K","4.22%"
"01/20/2023","79.62","74.82","80.58","73.86","789.16K","4.53%"
"01/19/2023","76.16","74.82","76.26","74.82","25.82K","3.12%"
"01/18/2023","73.86","73.48","73.86","72.52","60.76K","1.05%"
"01/17/2023","73.09","73.00","75.78","72.90","247.37K","0.26%"
"01/13/2023","72.90","73.29","73.38","72.90","3.75K","-0.65%"
"01/12/2023","73.38","75.30","75.30","73.00","3.15K","-0.13%"
"01/11/2023","73.48","75.78","75.78","72.23","4.71K","1.46%"
"01/10/2023","72.42","72.13","74.82","72.13","0.94K","-1.31%"
"01/09/2023","73.38","73.86","74.24","72.42","97.92K","-1.03%"
